username,tanggal_ulasan,komentar,processed_komentar,Polarity Score,Sentimen
Jon Ijonk,setahun lalu,Bagus sekali lucu,bagus lucu,-1,Negatif
Djati Yudhaningtyas,setahun lalu,Menu favorit yg selalu dipesan adalah Fuji Roll... Emang rasa setara sama kualitas bahan dan harga 🙈 …,menu favorit yg pes fuji roll emang tara kualitas bahan harga,6,Positif
Heriyanto,setahun lalu,"Perfect experience untuk menikmati sajian kuliner Jepang yang pancen enak.

Tempat strategis, parkir memadai, pelayanan prima, dan harga memang premium …",perfect experience nikmat saji kuliner jepang pancen enak strategis parkir pada layan prima harga premium,15,Positif
Yati Suhartini,setahun lalu,mantap...konsiste oishi-nya,mantap konsiste oishi nya,5,Positif
SUCI Trisna,setahun lalu,Staf ramah... pelayanan oke,staf ramah layan oke,4,Positif
must joe,setahun lalu,Ramai pas liburan,ramai pas libur,4,Positif
daru maya,setahun lalu,pelayanan cepat dan ramah,layan cepat ramah,2,Positif
muhammad zeky rokhmat,setahun lalu,"halo ,mohon di perbaiki untuk pesan nan online , orderan masuk di aplikasi segera di proses ,jangan nunggu driver sampai dulu baru proses, kadang driver posisi jauh dari resto ,jadi bakal tambah lama menunggunya ,",halo mohon baik pesan nan online order masuk aplikasi proses nunggu driver proses kadang driver posisi resto tunggu,0,Netral
Adhimukti Tryas,setahun lalu,Untuk yg sukiyaki soup kuahnya kemanisan... Lain dr itu enak semua,yg sukiyaki soup kuah manis dr enak,4,Positif
Alfeus Untung WS,setahun lalu,"Tempat favorit para pecinta sushi
Menu komplit
suka acar jae dan ocha",favorit cinta sushi menu komplit suka acar jae ocha,4,Positif
Anggi Mery Pratiwi,setahun lalu,Salmon sashiminya fresh dan tidak amis. Porsi ramennya cukup banyak dan bisa untuk 2 orang. Harga agak pricy tapi worth dengan rasa makanan yang enak dan memuaskan. Pelayan juga ramah dan tempat makan bersih.,salmon sashiminya fresh amis porsi ramennya orang harga pricy worth makan enak muas layan ramah makan bersih,13,Positif
Vicha Vansischa Chrestie,setahun lalu,"Kemanapun selalu jadi tempat makan favorit, ga pernah bosen 😁 selalu ada yg berbeda ditiap tempatnya, disini sashiminya ditaburi wijen, selalu lupa untuk foto, yg dimakan, ga semuanya kefoto …",mana makan favorit ga bosen yg beda tiap tempat sashiminya tabur wijen lupa foto yg makan ga foto,-5,Negatif
Sheila Khalida Wildanum,setahun lalu,"Sebel, di sushi tei jogja pas birthday waitressnya ga riang nyanyi2 happy bday sambil bawain sushi special, disini cuma kasih sushi aja gitu doang,  ga ada amazing2 apa gt… huuuu kecewa bangeet. Sama2 sushi tei ternyata pelayanan beda. Ga mau rayain bday di sushi tei jogja lagi.",sebel sushi tei jogja pas birthday waitressnya ga riang nyanyi happy bday bawain sushi special kasih sushi aja gitu doang ga amazing gt huuuu kecewa bangeet sushi tei layan beda ga rayain bday sushi tei jogja,12,Positif
Winda Aulia,setahun lalu,Tempat yang bagus untuk dikunjungi,bagus kunjung,-2,Negatif
Reni Swastika,setahun lalu,"Menu nya sangat beragam, ga cuma sushi, semua enak, anak2 juga cocok dg menunya ❤️",menu nya agam ga sushi enak anak cocok dg menu,4,Positif
ardiana konita,setahun lalu,"ditunjukan sama google maps kalo bisa lewat samping, jadi parkir mobil lebih leluasa, staff ramah …",tunjuk google maps kalo samping parkir mobil leluasa staff ramah,0,Netral
LFG Gumilang,setahun lalu,Halal dan tetap yang terbaik!🔥🙏🏻 …,halal baik,2,Positif
melati mayani,setahun lalu,Tempat yang bagus untuk makan sushi.. agak mahal tapi rasanya enak..,bagus makan sushi mahal enak,0,Netral
Helfi Tristeawan,setahun lalu,agak mahal tapi sepadan dengan rasa dan kualitasnya,mahal padan kualitas,5,Positif
Cicilia Prima,setahun lalu,"Penggemar sushi ya wajib bangetlah mampir sini. Udah paling bener makan sushi di sini. Harga emang mayan mahal. Tapi okelah, worth it. Aburi salmon enoki (?) or apa lupa namanya, patut dicoba. …",gemar sushi ya wajib banget mampir udah bener makan sushi harga emang mayan mahal oke worth it abur salmon enoki or lupa nama patut coba,3,Positif
PSP 23,setahun lalu,Enak&bergizi😁 …,enak gizi,1,Positif
Dian Pandayin,setahun lalu,Ada sushi cake khusus untuk yg berulang tahun dari h-7 sampai h+7 tinggal bilang ke servernya dan tunjukkan ktp.,sushi cake khusus yg ulang h h tinggal bilang servernya tunjuk ktp,-2,Negatif
Raihan Febrian,setahun lalu,mantap 😁 …,mantap,5,Positif
Agustine Prime,setahun lalu,Enak dan pas ada diskon. Mantab. Tempat luas dan bersih. Makanan enak enak. Staff ramah semua. Parkir kebetulan dpt pas depan pintu jadi oke lah.,enak pas diskon mantab luas bersih makan enak enak staff ramah parkir dpt pas pintu oke,19,Positif
Inter Bill,setahun lalu,Enak,enak,1,Positif
fitri ekawati,setahun lalu,Kali pertama makan disini. Saya mendapatkan pengalaman buruk disajikan minuman ocha dengan gelas yg masi ada bekas lipstiknya. Entah tidak dicuci atau bagaimana. Suasana resto juga gelap dan kotor.,kali makan alam buruk saji minum ocha gelas yg mas bekas lipstik cuci suasana resto gelap kotor,-7,Negatif
Hida Sinyonya,setahun lalu,"Makanannya enak, ya sesuai dengan harganya. Cuman memang bukan harga mahasiswa.",makan enak ya sesuai harga cuman harga mahasiswa,14,Positif
美子Mezza,setahun lalu,Kari yang saya impikan sedikit terlalu manis.,kari impi manis,3,Positif
mamma key,setahun lalu,"terakhir visit saat ada even all you can eat. jadi super ramai. tp pelayanan terbilang bagus di saat sprt itu, makanan overall OK. suka dg semua menu fav mereka! chicken kaarage saladnya juga best. sayang kemarin ga ditanya dressing mau yang apa, tetiba datang baru ingat biasanya ditanya mau opsi apa.",visit even all you can eat super ramai tp layan bilang bagus sprt makan overall ok suka dg menu fav chicken kaarage saladnya best sayang kemarin ga dressing tetiba opsi,5,Positif
Chinde Bayu,setahun lalu,Diner sama istri yg memuaskan,diner istri yg muas,5,Positif
Nanisa Djani,setahun lalu,"Walaupun kata orang jepang asli sushi disini gak kayak sushi di jepang tapi menurutku sushi disini adalah sushi yg paling enak di jogja. Harganya memang cukup mahal jika dibandingkan resto sushi"" lain di jogja. Tapi itu sebanding dengan …",orang jepang asli sushi gak kayak sushi jepang turut sushi sushi yg enak jogja harga mahal banding resto sushi jogja banding,1,Positif
Muhammad Mizan,setahun lalu,Direkomendasikan,rekomendasi,0,Netral
Miracle AH,setahun lalu,Satu hal yang saya harus highlight dari Sushi Tei disini adalah PELAYANANNYA. Dari parkir hingga kebersihan harus saya acungi jempol. Setiap staff mengerti pekerjaan mereka & melayani setiap pengunjung dengan baik. Kekurangannya adalah …,highlight sushi tei layan parkir bersih acung jempol staff erti kerja layan unjung kurang,4,Positif
Culap Culip,setahun lalu,"Pelayanan buruk, tempat kotor",layan buruk kotor,-10,Negatif
handrijo sustyanto,setahun lalu,Pelayanannya bagus dan ramah2,layan bagus ramah,0,Netral
Isna,setahun lalu,"Pertama kali cobain sushi tei.
Makanannya tentu saja enak, pelayanannya oke, suasananya juga sangat menikmati bisa bareng pasangan, keluarga, maupun teman",kali cobain sushi tei makan enak layan oke suasana nikmat bareng pasang keluarga teman,15,Positif
Septia Yudha Rennaningtyas,setahun lalu,"Kenapa sushi tei yk tidak seenak dan semewah di bandung ambience-nya, crowdedddd bgt di jumat mlm, menu kurang segar",sushi tei yk enak mewah bandung ambience nya crowdedddd bgt jumat mlm menu segar,6,Positif
Dicky Muharawan,setahun lalu,Restoran Jepang yang enak di sekitar Kota Yogyakarta,restoran jepang enak kota yogyakarta,-4,Negatif
Rafif Farhan,setahun lalu,nasinya lembek banget tolong dibenerin,nasi lembek banget tolong dibenerin,3,Positif
Bakhrian syah mohammad,setahun lalu,"CC saya tidak terbaca oleh mesin sehingga saya tidak dapat menukarkan poin saya.
Toiletnya bisa lebih bersih dan saya harap, urinoirnya disiram secara manual daripada disiram dengan sensor gerakan. Kita perlu mencuci ""milik kita"" setelah buang air kecil.",cc baca mesin tukar poin toilet bersih harap urinoirnya siram manual siram sensor gera cuci milik buang air,-1,Negatif
hendrik simatupang,setahun lalu,Harga tidak ditampilkan untuk yg siap saja dan mahal.......,harga tampil yg mahal,2,Positif
Eka Rusdiana,setahun lalu,Enak sekali,enak,1,Positif
triple super power double XL,setahun lalu,"Sushi ter de best sejauh ini di Indonesia yaa

Pelayanan nya baik sekali
Kualitas makanannya ga kaleng2",sushi ter de best indonesia yaa layan nya kualitas makan ga kaleng,4,Positif
R47ri “panjuy” BC,setahun lalu,"Selamat ulang taun Sushi Tei Jogja 🎉
Ngadain promo All U Can Eat selama 3 hari, dan salutnya menu AUCE nya nggak pelit, hampir semua yg kita suka tu ada ❤️❤️ termasuk jus dan ice cream 😍😍 semoga …",selamat ulang taun sushi tei jogja ngadain promo all u can eat salut menu auce nya nggak pelit yg suka tu jus ice cream moga,6,Positif
Bernadetha Rosari,setahun lalu,Cobalah all u can eat time.. padahal all u can eat rasa dan pelayanannya tetap sama. Puas!,coba all u can eat time all u can eat layan puas,4,Positif
Vito T Putra,setahun lalu,"Datang pas promo all u can eat
Overall oke bgt untuk rasa dan kualitas bintang 5 dan all you can eat lagi
karena saya sudah paham betul tnc nya jadinya tidak ada masalah saat saya …",pas promo all u can eat overall oke bgt kualitas bintang all you can eat paham tnc nya,12,Positif
Anthony wong,setahun lalu,"Karena enak itu relatif...

Menu yang ga enak itu salah satunya takoyaki, menurutku tekstur kaya perkedel …",enak relatif menu ga enak salah satu takoyaki turut tekstur kaya perkedel,-3,Negatif
Andi Susanto,setahun lalu,"Worth it dengan harga lumayan premium anda bisa merasakan sushi khas Jepang, service nya menyenangkan, suasana nyaman dan rasanya nikmat",worth it harga lumayan premium rasa sushi khas jepang service nya senang suasana nyaman nikmat,18,Positif
Negeri Seribu Darwis,setahun lalu,"Punya pengalaman buruk di restoran ini. Pelayanan buruk, lambat sekali, kami menunggu lebih dari 1 jam dari pemesanan.
Dari yang kursinya rama jadi sepi. Tolong pihak managemen untuk memperbaiki ini …",alam buruk restoran layan buruk lambat tunggu jam mesan kursi rama sepi tolong managemen baik,-10,Negatif
Kiyoshi Ren,setahun lalu,Salah satu tempat Sushi paling otentik dan lezat di kota. Kami pergi ke sana pada promo All You Can Eat (tampaknya waktunya terbatas) dan mencoba hampir semua pilihan yang tersedia. Favorit saya adalah nigiri sushi dengan saus mentai …,salah sushi otentik lezat kota pergi promo all you can eat batas coba pilih sedia favorit nigiri sushi saus mentai,2,Positif
alfian ardiansyah,setahun lalu,tetap enak😁 …,enak,1,Positif
Mike Padel,setahun lalu,favs chicken teriyaki salad in Jogja!,favs chicken teriyaki salad in jogja,0,Netral
Immanuel Simbolon,setahun lalu,Tempat yang bagus,bagus,-2,Negatif
Hadit Fikri,setahun lalu,"#bathroomreview11 20 nov 22

Untuk kamar mandinya keren banget dan sangat bersih, seluruh peralatan bisa …",bathroomreview nov kamar mandi keren banget bersih alat,-1,Negatif
Bucego,setahun lalu,"Mase mase
Kalau ada yang bilang gitu dah tidak usah terpanggil
Kalau ada adzan naah di lantai atas ada musholla kecil tapi bersih",mase mase bilang gitu dah panggil adzan naah lantai musholla bersih,-1,Negatif
feri guevarra,setahun lalu,Sushi tei tidak pernah gagal...,sushi tei gagal,-4,Negatif
Esty Satya,setahun lalu,Tidak respek dengan resto ini👎 …,respek resto,0,Netral
Judhia tri septiana,setahun lalu,"Dishes n service ok 👌

Musholla ada di lantai 3, tp td lift sdg dlm perbaikan jd harus lewat tangga yg …",dishes n service ok musholla lantai tp td lift sdg dlm baik jd tangga yg,6,Positif
Muhammad Shiddieqiy,setahun lalu,"apakah sushi termasuk fast food karena begitu datang kita bisa langsung ambil sushi yang sudah jadi?
terlepas dari itu semua sushi di Sushi Tei enak semua. …",sushi fast food langsung ambil sushi lepas sushi sushi tei enak,-3,Negatif
Almira Berlianaa,setahun lalu,Terenak se indonesia raya,enak indonesia raya,1,Positif
meriana,setahun lalu,Pergi 👍👍👍 …,pergi,-2,Negatif
Nabilla Ninda Larasati,setahun lalu,"Best sushi in the town. Selalu puas kalo makan di sushi tei. Good service, dari waitress, kasir, sampai tukang parkir semua melayani dengan baik dan ramah👍 …",best sushi in the town puas kalo makan sushi tei good service waitress kasir tukang parkir layan ramah,9,Positif
Sugi Harto,setahun lalu,tempat makan yang nyaman dengan pelayanan ramah pokoknya isthebest,makan nyaman layan ramah pokok isthebest,6,Positif
Yudhi Dk,setahun lalu,"enak, pelayanan cepat, tempat juga sangat nyaman, kemaren kesini pas ulang tahun resto-nya, beli yang murah aja 25k/plate (selected item)",enak layan cepat nyaman kemaren kesini pas ulang resto nya beli murah aja k plate selected item,5,Positif
Rony Are,setahun lalu,Rasanya cocok dilidah,cocok lidah,1,Positif
PepPita,setahun lalu,"Sushi Tei as always ya, enak.

Tapi agak sedih last dinner dapet Gyozanya gak uenaak, dagingnya dikit, sayur …",sushi tei as always ya enak sedih last dinner dapet gyozanya gak uenaak daging dikit sayur,-2,Negatif
Nezzar Erraldin,setahun lalu,Enaaak lah gak salah lagi best sushi in town,enaaak gak salah best sushi in town,-4,Negatif
dianrhesa muryanto,setahun lalu,Rasa sushi yang spesial,sushi spesial,4,Positif
Narayana Radya Aydin “narayana”,setahun lalu,Tempat yang bagus untuk masakan Jepang,bagus masakan jepang,1,Positif
Hitam Putih,setahun lalu,Mencoba menu barat,coba menu barat,1,Positif
vidya argarita,2 tahun lalu,Great service meskipun sedang sangat ramai,great service ramai,1,Positif
Yesica Soejoto,2 tahun lalu,"Tidak pernah kecewa makan di Sushi Tei.
Kualitas makanan, pelayanan dan suasana semuanya memuaskan.
Must order chiken karage salad with sesame dressing, chuka lidako, chuka wakame, jumbo dragon roll, smoke salmon roll, tuna salad crispy",kecewa makan sushi tei kualitas makan layan suasana muas must order chiken karage salad with sesame dressing chuka lidako chuka wakame jumbo dragon roll smoke salmon roll tuna salad crispy,13,Positif
Fatmawati Mustofa,2 tahun lalu,"Saya suka suasananya, mereka juga menyajikan makanan enak dan segar.",suka suasana saji makan enak segar,15,Positif
Rifqi Alghifari Wibowo,2 tahun lalu,"Sushi Tei? Engga perlu diragukan lagi, sajian yang bermacam-macam sangat cocok untuk makan bersama keluarga atau pun dengan teman-temanmu. Rasa dan pelayanan kelas atas disini akan terbayarkan dengan rogohan kocek kalian. Bisa dibilang salah satu sushi terenak di kelasnya, khususnya di Jogja ini.",sushi tei engga ragu saji cocok makan keluarga teman teman layan kelas bayar rogoh kocek bilang salah sushi enak kelas jogja,-11,Negatif
siwandono,2 tahun lalu,Lama sekali,,0,Netral
タマキ23,2 tahun lalu,"Kira-kira apa jadinya seperti ini karena ini Jogja. Lippo Cikarang, tempat tinggal banyak orang Jepang, memiliki banyak restoran Jepang yang enak. . Yah, aku tidak punya pilihan selain menyerah. Tidak mungkin ada restoran Jepang yang enak di pedesaan yang tidak ada orang Jepangnya.",jogja lippo cikarang tinggal orang jepang milik restoran jepang enak yah pilih serah restoran jepang enak desa orang jepangnya,-10,Negatif
Nur Lailatul Kamila,2 tahun lalu,"Makanan enak, pelayanan sangat memuaskan. Top banget pelayanan nya",makan enak layan muas top banget layan nya,10,Positif
Bagus Dediana,2 tahun lalu,"Enak, recommend dh nie tempat.. Next trip mampir lg.",enak recommend dh nie next trip mampir lg,-2,Negatif
Paulus Lai,2 tahun lalu,Sushi enak dari jaringan sushi terkenal.,sushi enak jaring sushi kenal,5,Positif
ramaoh pahlewi,2 tahun lalu,hmmmm.... sushi sebenarnya yang ada di jogja dan mudah di jangkau,hmmmm sushi jogja mudah jangkau,3,Positif
mongung,2 tahun lalu,"Kemarin lagi ada promo jadi diskon 30 persen, jadi cukup worth it",kemarin promo diskon persen worth it,7,Positif
Emy Kusparyati,2 tahun lalu,Restoran sushi yang lezat dan bersih,restoran sushi lezat bersih,1,Positif
Alfi Pangestiawan,2 tahun lalu,"Makanan yang enak. Saya memesan ramen ayam dan takoyaki, rekan saya memesan sushi dan berbagai menu. Menurutku ramennya tidak seperti yang kukira, agak polos dan aku harus menambahkan soyu dan cabai serpihan untuk menambah rasa di dalamnya, …",makan enak mes ramen ayam takoyaki rekan mes sushi menu turut ramennya kira polos soyu cabai serpih tambah dalam,4,Positif
Irfan Yunanta,2 tahun lalu,"Sushi yang enak, restoran yang bagus, respon cepat pelayan yang baik",sushi enak restoran bagus respon cepat layan,-3,Negatif
Ariska Nur,2 tahun lalu,oke sih. tapi kenapa sushi tei di surabaya jauh lebih enak 😁 gyoza nya juga beda …,oke sih sushi tei surabaya enak gyoza nya beda,1,Positif
Acon AroL,2 tahun lalu,Agak lama,,0,Netral
Stephane Servin,2 tahun lalu,Kualitas telah menurun drastis akhir-akhir ini,kualitas turun drastis,2,Positif
Muhammad Eriel,2 tahun lalu,Tempat makan Arem Arem Jepang,makan arem arem jepang,0,Netral
zahra rista,2 tahun lalu,Mantapp,mantapp,0,Netral
Iñd,2 tahun lalu,Masakan enak dan tempat nyaman sekali..,masakan enak nyaman,8,Positif
dwina diary,2 tahun lalu,Bersih. Pelayanan cepat. Harga memang agak mahal dibanding yang lain. Tapi rasanya enak menurut saya. Terima kasih.,bersih layan cepat harga mahal banding enak terima kasih,8,Positif
Dendi Satrio,2 tahun lalu,"Sushi dan sashimi pertama, tidak kecewa",sushi sashimi kecewa,0,Netral
Mazz Anjaz,2 tahun lalu,"Makanan overal enak,lama di penyajian",makan overal enak saji,5,Positif
Laila Kholisotul Basiroh,2 tahun lalu,"Pertama kali nyoba makan di sushi tei enaaaaqqq bangetttt. Servicenya bagus, waiters nya ramah. Toiletnya bersih, ada mushola di lantai atas, nunggu antri shalat sambil nyantai syahdu di rooftop. Cuma parkir mobilnya kurang luas.",kali nyoba makan sushi tei enaaaaqqq bangetttt servicenya bagus waiters nya ramah toilet bersih mushola lantai nunggu antri shalat nyantai syahdu rooftop parkir mobil luas,10,Positif
