username,tanggal_ulasan,komentar
Sheila Khalida Wildanum,setahun lalu,"Sebel, di sushi tei jogja pas birthday waitressnya ga riang nyanyi2 happy bday sambil bawain sushi special, disini cuma kasih sushi aja gitu doang,  ga ada amazing2 apa gt… huuuu kecewa bangeet. Sama2 sushi tei ternyata pelayanan beda. Ga mau rayain bday di sushi tei jogja lagi."
Winda Aulia,setahun lalu,Tempat yang bagus untuk dikunjungi
Reni Swastika,setahun lalu,"Menu nya sangat beragam, ga cuma sushi, semua enak, anak2 juga cocok dg menunya ❤️"
Ines Piri,setahun lalu,
ardiana konita,setahun lalu,"ditunjukan sama google maps kalo bisa lewat samping, jadi parkir mobil lebih leluasa, staff ramah …"
LFG Gumilang,setahun lalu,Halal dan tetap yang terbaik!🔥🙏🏻 …
melati mayani,setahun lalu,Tempat yang bagus untuk makan sushi.. agak mahal tapi rasanya enak..
Helfi Tristeawan,setahun lalu,agak mahal tapi sepadan dengan rasa dan kualitasnya
Andriann Rizz,setahun lalu,
Leonardo Haryo,setahun lalu,
Cicilia Prima,setahun lalu,"Penggemar sushi ya wajib bangetlah mampir sini. Udah paling bener makan sushi di sini. Harga emang mayan mahal. Tapi okelah, worth it. Aburi salmon enoki (?) or apa lupa namanya, patut dicoba. …"
Marisa Marisa,setahun lalu,
Yulianto Pranti,setahun lalu,
Leo Acharya Bhamakerti,setahun lalu,
Kevin Pratama,setahun lalu,
Esti Rahardjo,setahun lalu,
PSP 23,setahun lalu,Enak&bergizi😁 …
arya p king,setahun lalu,
Dian Pandayin,setahun lalu,Ada sushi cake khusus untuk yg berulang tahun dari h-7 sampai h+7 tinggal bilang ke servernya dan tunjukkan ktp.
Raihan Febrian,setahun lalu,mantap 😁 …
Agustine Prime,setahun lalu,Enak dan pas ada diskon. Mantab. Tempat luas dan bersih. Makanan enak enak. Staff ramah semua. Parkir kebetulan dpt pas depan pintu jadi oke lah.
Mutia Sholikha,setahun lalu,
Chandrika Aditya,setahun lalu,
Inter Bill,setahun lalu,Enak
fitri ekawati,setahun lalu,Kali pertama makan disini. Saya mendapatkan pengalaman buruk disajikan minuman ocha dengan gelas yg masi ada bekas lipstiknya. Entah tidak dicuci atau bagaimana. Suasana resto juga gelap dan kotor.
Hida Sinyonya,setahun lalu,"Makanannya enak, ya sesuai dengan harganya. Cuman memang bukan harga mahasiswa."
Al Gifari,setahun lalu,
Ali Ibnu97,setahun lalu,
Chris Tanto,setahun lalu,
美子Mezza,setahun lalu,Kari yang saya impikan sedikit terlalu manis.
mamma key,setahun lalu,"terakhir visit saat ada even all you can eat. jadi super ramai. tp pelayanan terbilang bagus di saat sprt itu, makanan overall OK. suka dg semua menu fav mereka! chicken kaarage saladnya juga best. sayang kemarin ga ditanya dressing mau yang apa, tetiba datang baru ingat biasanya ditanya mau opsi apa."
3as Dewanto,setahun lalu,
Chinde Bayu,setahun lalu,Diner sama istri yg memuaskan
Nanisa Djani,setahun lalu,Walaupun kata orang jepang asli sushi disini gak kayak sushi di jepang tapi menurutku sushi disini adalah sushi yg paling enak di jogja. Harganya memang cukup mahal jika dibandingkan resto sushi" lain di jogja. Tapi itu sebanding dengan …
Muhammad Mizan,setahun lalu,Direkomendasikan
Miracle AH,setahun lalu,Satu hal yang saya harus highlight dari Sushi Tei disini adalah PELAYANANNYA. Dari parkir hingga kebersihan harus saya acungi jempol. Setiap staff mengerti pekerjaan mereka & melayani setiap pengunjung dengan baik. Kekurangannya adalah …
Culap Culip,setahun lalu,"Pelayanan buruk, tempat kotor"
Suhud Baital,setahun lalu,
Vonezyo Dharomesz,setahun lalu,
handrijo sustyanto,setahun lalu,Pelayanannya bagus dan ramah2
iqbal ikromi,setahun lalu,
Isna,setahun lalu,"Pertama kali cobain sushi tei.
Makanannya tentu saja enak, pelayanannya oke, suasananya juga sangat menikmati bisa bareng pasangan, keluarga, maupun teman"
Arief Karunia Putra,setahun lalu,
Ichsan Choliq,setahun lalu,
yoyok,setahun lalu,
Septia Yudha Rennaningtyas,setahun lalu,"Kenapa sushi tei yk tidak seenak dan semewah di bandung ambience-nya, crowdedddd bgt di jumat mlm, menu kurang segar"
Dicky Muharawan,setahun lalu,Restoran Jepang yang enak di sekitar Kota Yogyakarta
Achmad Aulia Rachmadany,setahun lalu,
Sasha William,setahun lalu,
Rafif Farhan,setahun lalu,nasinya lembek banget tolong dibenerin
Naufal Hidayat,setahun lalu,
Faqih Hidayatulloh,setahun lalu,
Ikhsan PrimeJobFinder,setahun lalu,
Bakhrian syah mohammad,setahun lalu,"CC saya tidak terbaca oleh mesin sehingga saya tidak dapat menukarkan poin saya.
Toiletnya bisa lebih bersih dan saya harap, urinoirnya disiram secara manual daripada disiram dengan sensor gerakan. Kita perlu mencuci ""milik kita"" setelah buang air kecil."
hendrik simatupang,setahun lalu,Harga tidak ditampilkan untuk yg siap saja dan mahal.......
Eka Rusdiana,setahun lalu,Enak sekali
Fadhil Amadan,setahun lalu,
triple super power double XL,setahun lalu,"Sushi ter de best sejauh ini di Indonesia yaa

Pelayanan nya baik sekali
Kualitas makanannya ga kaleng2"
R47ri “panjuy” BC,setahun lalu,"Selamat ulang taun Sushi Tei Jogja 🎉
Ngadain promo All U Can Eat selama 3 hari, dan salutnya menu AUCE nya nggak pelit, hampir semua yg kita suka tu ada ❤️❤️ termasuk jus dan ice cream 😍😍 semoga …"
Rissa Pradeski,setahun lalu,
Lintang Farmasiusd,setahun lalu,
Bernadetha Rosari,setahun lalu,Cobalah all u can eat time.. padahal all u can eat rasa dan pelayanannya tetap sama. Puas!
Aditya Mp,setahun lalu,
Vito T Putra,setahun lalu,"Datang pas promo all u can eat
Overall oke bgt untuk rasa dan kualitas bintang 5 dan all you can eat lagi
karena saya sudah paham betul tnc nya jadinya tidak ada masalah saat saya …"
Hari Murti,setahun lalu,
Farisankus Kusniadi,setahun lalu,
Mettha Audina,setahun lalu,
Anthony wong,setahun lalu,"Karena enak itu relatif...

Menu yang ga enak itu salah satunya takoyaki, menurutku tekstur kaya perkedel …"
Jaxo Leingod,setahun lalu,
Andi Susanto,setahun lalu,"Worth it dengan harga lumayan premium anda bisa merasakan sushi khas Jepang, service nya menyenangkan, suasana nyaman dan rasanya nikmat"
Rizka Nuraida,setahun lalu,
Negeri Seribu Darwis,setahun lalu,"Punya pengalaman buruk di restoran ini. Pelayanan buruk, lambat sekali, kami menunggu lebih dari 1 jam dari pemesanan.
Dari yang kursinya rama jadi sepi. Tolong pihak managemen untuk memperbaiki ini …"
Kiyoshi Ren,setahun lalu,Salah satu tempat Sushi paling otentik dan lezat di kota. Kami pergi ke sana pada promo All You Can Eat (tampaknya waktunya terbatas) dan mencoba hampir semua pilihan yang tersedia. Favorit saya adalah nigiri sushi dengan saus mentai …
Fira,setahun lalu,
Ncuz Tawa,setahun lalu,
Rendy R,setahun lalu,
Aura Fadhila,setahun lalu,
alfian ardiansyah,setahun lalu,tetap enak😁 …
Prabowo Yoga,setahun lalu,
Mike Padel,setahun lalu,favs chicken teriyaki salad in Jogja!
Anggara Putra,setahun lalu,
Immanuel Simbolon,setahun lalu,Tempat yang bagus
Hadit Fikri,setahun lalu,"#bathroomreview11 20 nov 22

Untuk kamar mandinya keren banget dan sangat bersih, seluruh peralatan bisa …"
Bucego,setahun lalu,"Mase mase
Kalau ada yang bilang gitu dah tidak usah terpanggil
Kalau ada adzan naah di lantai atas ada musholla kecil tapi bersih"
feri guevarra,setahun lalu,Sushi tei tidak pernah gagal...
Edi Supriantoro,setahun lalu,
Anton Tan,setahun lalu,
Bambang Wahyudi,setahun lalu,
Esty Satya,setahun lalu,Tidak respek dengan resto ini👎 …
Judhia tri septiana,setahun lalu,"Dishes n service ok 👌

Musholla ada di lantai 3, tp td lift sdg dlm perbaikan jd harus lewat tangga yg …"
Muhammad Shiddieqiy,setahun lalu,"apakah sushi termasuk fast food karena begitu datang kita bisa langsung ambil sushi yang sudah jadi?
terlepas dari itu semua sushi di Sushi Tei enak semua. …"
Siti Masruroh,setahun lalu,
Almira Berlianaa,setahun lalu,Terenak se indonesia raya
Arum Melati Thoibah,setahun lalu,
meriana,setahun lalu,Pergi 👍👍👍 …
Nabilla Ninda Larasati,setahun lalu,"Best sushi in the town. Selalu puas kalo makan di sushi tei. Good service, dari waitress, kasir, sampai tukang parkir semua melayani dengan baik dan ramah👍 …"
Roosyidah Haniifah,setahun lalu,
Sugi Harto,setahun lalu,tempat makan yang nyaman dengan pelayanan ramah pokoknya isthebest
basink girl,setahun lalu,
singgih setyawan,setahun lalu,
suyantoantonius edward,setahun lalu,
Yudhi Dk,setahun lalu,"enak, pelayanan cepat, tempat juga sangat nyaman, kemaren kesini pas ulang tahun resto-nya, beli yang murah aja 25k/plate (selected item)"
Karta Kaos,setahun lalu,
Randy Randy,setahun lalu,
tri wahyuedi,setahun lalu,
Rony Are,setahun lalu,Rasanya cocok dilidah
PepPita,setahun lalu,"Sushi Tei as always ya, enak.

Tapi agak sedih last dinner dapet Gyozanya gak uenaak, dagingnya dikit, sayur …"
budiyono tepe,setahun lalu,
Nezzar Erraldin,setahun lalu,Enaaak lah gak salah lagi best sushi in town
dianrhesa muryanto,setahun lalu,Rasa sushi yang spesial
Martha Evalina,setahun lalu,
Narayana Radya Aydin “narayana”,setahun lalu,Tempat yang bagus untuk masakan Jepang
Cahyo We,setahun lalu,
Hartatik Oppo,setahun lalu,
Hadiatussalamah Diah,setahun lalu,
Garasi Jo,setahun lalu,
Hitam Putih,setahun lalu,Mencoba menu barat
Jegos,setahun lalu,
vidya argarita,2 tahun lalu,Great service meskipun sedang sangat ramai
Victor Wijaya,2 tahun lalu,
Yesica Soejoto,2 tahun lalu,"Tidak pernah kecewa makan di Sushi Tei.
Kualitas makanan, pelayanan dan suasana semuanya memuaskan.
Must order chiken karage salad with sesame dressing, chuka lidako, chuka wakame, jumbo dragon roll, smoke salmon roll, tuna salad crispy"
Fatmawati Mustofa,2 tahun lalu,"Saya suka suasananya, mereka juga menyajikan makanan enak dan segar."
Tri Kurdiyanto,2 tahun lalu,
annisa sohwa,2 tahun lalu,
Kanthy Zukhrifah,2 tahun lalu,
M Kalyono,2 tahun lalu,
Febri Wahyudi,2 tahun lalu,
Rifqi Alghifari Wibowo,2 tahun lalu,"Sushi Tei? Engga perlu diragukan lagi, sajian yang bermacam-macam sangat cocok untuk makan bersama keluarga atau pun dengan teman-temanmu. Rasa dan pelayanan kelas atas disini akan terbayarkan dengan rogohan kocek kalian. Bisa dibilang salah satu sushi terenak di kelasnya, khususnya di Jogja ini."
siwandono,2 tahun lalu,Lama sekali
Ade Suksma,2 tahun lalu,
タマキ23,2 tahun lalu,"Kira-kira apa jadinya seperti ini karena ini Jogja. Lippo Cikarang, tempat tinggal banyak orang Jepang, memiliki banyak restoran Jepang yang enak. . Yah, aku tidak punya pilihan selain menyerah. Tidak mungkin ada restoran Jepang yang enak di pedesaan yang tidak ada orang Jepangnya."
Hanabella Rizqi,2 tahun lalu,
Ica -,2 tahun lalu,
Enggar Wuri,2 tahun lalu,
Dwi Cahyani,2 tahun lalu,
Nadya Syarifa,2 tahun lalu,
Nur Lailatul Kamila,2 tahun lalu,"Makanan enak, pelayanan sangat memuaskan. Top banget pelayanan nya"
angga negara,2 tahun lalu,
Kristianto Efendi Cahya,2 tahun lalu,
Fawzia Aulia,2 tahun lalu,
Bagus Dediana,2 tahun lalu,"Enak, recommend dh nie tempat.. Next trip mampir lg."
Salim Salim,2 tahun lalu,
Dyah Dewandaru,2 tahun lalu,
Paulus Lai,2 tahun lalu,Sushi enak dari jaringan sushi terkenal.
ramaoh pahlewi,2 tahun lalu,hmmmm.... sushi sebenarnya yang ada di jogja dan mudah di jangkau
mongung,2 tahun lalu,"Kemarin lagi ada promo jadi diskon 30 persen, jadi cukup worth it"
Adrian S. Rasnie,2 tahun lalu,
Alvin Tofani,2 tahun lalu,
Edo Gandawiguna,2 tahun lalu,
Sepur Snell,2 tahun lalu,
Kikim Variasi,2 tahun lalu,
Aji Priyatno,2 tahun lalu,
Adi Setiawan,2 tahun lalu,
Elisabet Manuela Sejati,2 tahun lalu,
Emy Kusparyati,2 tahun lalu,Restoran sushi yang lezat dan bersih
Maria Adolfina B,2 tahun lalu,
Dudy Daulay,2 tahun lalu,
Alfi Pangestiawan,2 tahun lalu,"Makanan yang enak. Saya memesan ramen ayam dan takoyaki, rekan saya memesan sushi dan berbagai menu. Menurutku ramennya tidak seperti yang kukira, agak polos dan aku harus menambahkan soyu dan cabai serpihan untuk menambah rasa di dalamnya, …"
Irfan Yunanta,2 tahun lalu,"Sushi yang enak, restoran yang bagus, respon cepat pelayan yang baik"
Oky L,2 tahun lalu,
Andi Nurfadhilah Ichdar,2 tahun lalu,
Dicky Suseno,2 tahun lalu,
Ariska Nur,2 tahun lalu,oke sih. tapi kenapa sushi tei di surabaya jauh lebih enak 😁 gyoza nya juga beda …
Ratu Semadaria,2 tahun lalu,
agung ambara putra,2 tahun lalu,
Acon AroL,2 tahun lalu,Agak lama
Stephane Servin,2 tahun lalu,Kualitas telah menurun drastis akhir-akhir ini
Muhammad Eriel,2 tahun lalu,Tempat makan Arem Arem Jepang
Herlin S Soetrisno,2 tahun lalu,
zahra rista,2 tahun lalu,Mantapp
Edna Sari Wardhani,2 tahun lalu,
Sri 92 (Ena),2 tahun lalu,
Inn-De,2 tahun lalu,
Mei Setiawan,2 tahun lalu,
Iñd,2 tahun lalu,Masakan enak dan tempat nyaman sekali..
dwina diary,2 tahun lalu,Bersih. Pelayanan cepat. Harga memang agak mahal dibanding yang lain. Tapi rasanya enak menurut saya. Terima kasih.
Dendi Satrio,2 tahun lalu,"Sushi dan sashimi pertama, tidak kecewa"
Em K,2 tahun lalu,
Lapuja 126,2 tahun lalu,
Mazz Anjaz,2 tahun lalu,"Makanan overal enak,lama di penyajian"
Faniradia Deniar,2 tahun lalu,
ima ristiani,2 tahun lalu,
Karinda Marta,2 tahun lalu,
Laila Kholisotul Basiroh,2 tahun lalu,"Pertama kali nyoba makan di sushi tei enaaaaqqq bangetttt. Servicenya bagus, waiters nya ramah. Toiletnya bersih, ada mushola di lantai atas, nunggu antri shalat sambil nyantai syahdu di rooftop. Cuma parkir mobilnya kurang luas."
Bagus Ircham Efendy,2 tahun lalu,"Tisu toiletnya salah masang kayaknya, jadi susah nariknya, yang lain sudah bagus"
indrato Diwi sumoko,2 tahun lalu,
Gordon Aiavao,2 tahun lalu,Tidak apa-apa. Itu mengenai tempat sushi. Tapi layanannya lambatwwwwwww.  Butuh waktu 30 menit agar hidangan penutup kami tiba
Agung Trisnadi,2 tahun lalu,
Laurensia Prista Karina,2 tahun lalu,
Rifka Adriningrum,2 tahun lalu,Sushi ter yang terbaik di dunia wekekeke
Aziza Ratih Reni Latifa,2 tahun lalu,
DJ Chris Purple,2 tahun lalu,Sebagus Sushi Tei standar
Wishnu Pratama,2 tahun lalu,"Harga emang ga bohong, sesuai pelayanan dan rasanya"
Arif Hidayat,2 tahun lalu,HALAL! Harus dikatakan tempat ini memiliki begitu banyak varian ikan mentah untuk sashimi. …
Farach Difa,2 tahun lalu,"Enaaaakkkkkkk 😍😍😍😍
Yang pasti MUI halal jadi tidak perlu khawatir makan disini …"
Primasari Dewi,2 tahun lalu,
Ludowikus Dius,2 tahun lalu,"Ya kayak sushi tei pada umumnya aja hahha. Staff tanggap, resto bersih, parkir cukup saja soalnya lokasi pinggir jalan"
Agastya Putra,2 tahun lalu,
Refa Sweda,2 tahun lalu,"Sushi dengan rasa grade SS,banyak sekali menu disini dan rasanya segar sekali, kalo di bandingin dengan yg lain yg ada di mall mall inilah yg saya suka, free refill ocha juga dengan rasa yg kental yg enak.. harga ocha nya juga cuman 5tb saja kwkwkwk kaget saya"
Cindy Puspita,2 tahun lalu,Datang ke sini untuk matcha dango dan akhirnya menikmati makanan yang memuaskan. Chicken katsu dihidangkan dengan saus kari yang lezat. Dan sushinya enak seperti biasa. Direkomendasikan untuk orang yang menyukai makanan Jepang dan bagi mereka yang ingin mencoba.
bambang eko,2 tahun lalu,Sushi terbaik di kota
Indah Wahyuni,2 tahun lalu,
JAGSHOL Dwic,2 tahun lalu,Baik bersih n higienis
vicky parapat,2 tahun lalu,
Bob Heiwa,2 tahun lalu,"Suka menu dan layanannya,
Mereka menghadirkan nuansa Jepang dan beberapa karyawan bahkan menyapa menggunakan bahasa Jepang. …"
NeeSha Yuliyanto,2 tahun lalu,
Anto Tiger,2 tahun lalu,Oke
Wahyu Suci,2 tahun lalu,
Reshi Bugipaksi,2 tahun lalu,
Fifi Loe,2 tahun lalu,
Taufiq Ilham Azhari,2 tahun lalu,Salah satu tempat makan sushi terbaik
aji Fazter,2 tahun lalu,
RIFKA NETAWATI,2 tahun lalu,
Krisnawati Sukmaya,2 tahun lalu,Pertama kali makan sushi dikenalin sama sahabatku dulu pas kuliah di Jakarta ya di Sushi Tei. Setelah itu jadi nagih 😂😂😂. Sekarang pindah hidup di Jogja Alhamdulillah ada Sutei juga dong! Sushi Tei ini selalu jadi tujuan makan sushi kalau …
kharisma idea,2 tahun lalu,Makan sushi paling nyaman di kota yogya.  Harga jangan ditanya ya.
NurulY F,2 tahun lalu,"Termasuk salah satu tempat makan sushi yang rame banget di Jogja. Saya bukan penggemar sushi/sashimi ya, dan lebih suka sushi roll krn ikan/udangnya matang 🤭 tapi anak saya suka dengan salmon sashiminya sedangkan dia itu picky eater banget. …"
Fawwaz Zaini,2 tahun lalu,
Kiky Piky,2 tahun lalu,"Tempat makan sushi yg emang paling enak, semua sashiminya fresh bgt, sama sekali g mengecewakan,mulai dari staffnya yg cepat tanggap, pelayanan yg ramah, lingkungan bersih bgt, kalo masalah rasa gsah diragukan lagi, utk harga sesuai dg kualitas dan rasanya."
surya wsb,2 tahun lalu,
The Aoki's,2 tahun lalu,
Yonanda Bayu,2 tahun lalu,
Kreshna Adyatama,2 tahun lalu,"Dagingnya fresh, berasa lumer di mulut. Cuma sayang parkiran mobilnya agak kurang"
Nurhayati Agustin,2 tahun lalu,
Noor Nabi,2 tahun lalu,
Windri Jun Kusnadilawati,2 tahun lalu,Bagus..
Herbanu Setiawan,2 tahun lalu,Bismillah...
Syahida Norviana,2 tahun lalu,Best sushi in my town sih kalau ini. Aku suka pesen menu salmon dan tuna. Pas dimakan itu lembut dan nyeesss. Untuk mentainya juga enak. Ada varian sushi yang tidak seafood kok. Selain itu disini menyediakan menu nasi dan udon. Dessertnya …
diko putra,2 tahun lalu,
Aditya Bayu,2 tahun lalu,
Christoper Terry Parada Sitanggang,2 tahun lalu,
my music42,2 tahun lalu,Pelayanan yang baik
FADILAH,2 tahun lalu,"The best sushi in the town. Pertama kali makan di Jakarta, karna di Solo tidak ada dan langsung menobatkan sushi ini yg terenak. Dan ga mikir panjang meski harus  ke Jogja cm demi makan Sushi Tei. Seenak itu.😭 …"
Iyasss21,2 tahun lalu,"Banyak pilihan makanan, tetapi keterangan harganya masih kurang jelas"
Faqih Adnan,2 tahun lalu,Masih paling enak sih. Cuma saya sering sekali ketika ada promo paket yang di gambar menarik tapi menu pesanan yang datang gak sama seperti di gambar menu. Bahkan menu yang lainpun kebanyakan gak sama seperti di gambar
Ophelia Andriana,2 tahun lalu,
Nikita,2 tahun lalu,"Saya memberikan satu bintang karena saya tidak bisa memberikannya lebih rendah. Jika Anda rindu mayones Zaanse, saya pasti akan pergi ke sini. Sushi semuanya flambéed, mereka tidak mengerti jika Anda menginginkannya mentah. Saat kami ingin …"
Caroline Feby,2 tahun lalu,"Pelayanan bagus, tp utk menu kurang fresh ya . Yg di pesan tidak dibuat lgsg tp di ambilkan di etalase yg sudah dingin dan kering rasa nasi nya :("
kusumo asmoro,2 tahun lalu,Tempat bersih nyaman dan aman jika membawa anak anak
Hardi Sigar,2 tahun lalu,Oke
Yohan Yuwono Ardiyanto,2 tahun lalu,
Julia Anida,2 tahun lalu,Jujur mending kalo beli sushi atau sashimj di sushi tei sekalian. Karena sushi nya lebih enak dan lebih niat dalam pembuatannya dari tempat sushi lain
Caca,2 tahun lalu,Tempat nyaman dan cukup luas walaupun terkadang harus waiting list. Sushi tei jd tujuan tempat makan pertama untuk makanan jepang di Jogja.
Fatah Iskandar,2 tahun lalu,Lumayan lah
danan mangesti,2 tahun lalu,
Pius Kellen,2 tahun lalu,
Kurniawan Edwin,2 tahun lalu,"Sushi enak terutama untuk menu selain piring tamu.
mereka menyajikan sushi dengan banyak mentai di atasnya."
Elsa_Banjar 1,2 tahun lalu,
Dwi Setianto,2 tahun lalu,
InsaneDorito _,2 tahun lalu,
